activation_month,observation_month,months_since_activation,revenue_lifecycle_state,persona,initial_subscription_group,segment_level,companies,subscription_revenue,interchange_revenue,banking_fees,deposit_interest_revenue,total_revenue,activated_cohort_size,cohort_state_share_pct
2025-10-01,2025-10-01,0,Active,ALL,business,initial_plan,28,0.00000000000000000000,1219.45155582925844833000,398.00000000000000000000,185.02885769369861670951,1802.48041352295706503951,28,100.0
2025-10-01,2025-10-01,0,Active,ALL,free,initial_plan,408,0.00000000000000000000,2284.29594601270553887600,7688.00000000000000000000,1159.89368328273968996608,11132.18962929544522884208,409,99.76
2025-10-01,2025-10-01,0,Never monetized,ALL,free,initial_plan,1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,409,0.24
2025-10-01,2025-10-01,0,Active,ALL,plus,initial_plan,210,146.30208333200000000000,3487.93497582367831999000,4306.68000000000000000000,665.78803301863010842483,8606.70509217430842841483,211,99.53
2025-10-01,2025-10-01,0,Never monetized,ALL,plus,initial_plan,1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,211,0.47
2025-10-01,2025-10-01,0,Active,ALL,start,initial_plan,547,444.70900537700000000000,4839.88583439878039110400,6779.06000000000000000000,1999.85228985534244199101,14063.50712963112283309501,548,99.82
2025-10-01,2025-10-01,0,Never monetized,ALL,start,initial_plan,1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,548,0.18
2025-10-01,2025-10-01,0,Active,ALL,ALL,overall,1193,591.01108870900000000000,11831.56831206442269830000,19171.74000000000000000000,4010.56286385041085709143,35604.88226462383355539143,1196,99.75
2025-10-01,2025-10-01,0,Never monetized,ALL,ALL,overall,3,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1196,0.25
2025-10-01,2025-10-01,0,Active,Automobile_Trade_Repair,ALL,persona,53,16.87500000000000000000,2482.76418829728949583000,840.00000000000000000000,146.87505948438355842006,3486.51424778167305425006,53,100.0
2025-10-01,2025-10-01,0,Active,BTP,ALL,persona,239,72.03125000000000000000,3541.44714571629516714300,1590.00000000000000000000,1872.14339214904106296468,7075.62178786533623010768,240,99.58
2025-10-01,2025-10-01,0,Never monetized,BTP,ALL,persona,1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,240,0.42
2025-10-01,2025-10-01,0,Active,Bankers_Insurance,ALL,persona,15,20.46875000000000000000,252.53642193246836006000,419.06000000000000000000,27.94756988657533891220,720.01274181904369897220,15,100.0
2025-10-01,2025-10-01,0,Active,Bikers_Drivers,ALL,persona,99,30.46875000000000000000,1167.39876211141362225300,1666.00000000000000000000,124.13683208493150411050,2988.00434419634512636350,100,99.0
2025-10-01,2025-10-01,0,Never monetized,Bikers_Drivers,ALL,persona,1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,100,1.0
2025-10-01,2025-10-01,0,Active,Cleaning_CallCenters,ALL,persona,6,0.00000000000000000000,0.00000000000000000000,138.00000000000000000000,11.24100030520547723484,149.24100030520547723484,6,100.0
